ExpressionPattern.pattern	ExpressionPattern.primaryIdentifier	ExpressionPattern.remark	ExpressionPattern.reporterGene	ExpressionPattern.subcellularLocalization	ExpressionPattern.anatomyTerms.name	ExpressionPattern.anatomyTerms.synonym	ExpressionPattern.anatomyTerms.definition	ExpressionPattern.anatomyTerms.primaryIdentifier	ExpressionPattern.genes.symbol	ExpressionPattern.genes.primaryIdentifier	ExpressionPattern.genes.organism.species
Marker for ASH neurons.	Marker74	Picture: Figure 4E, 4F.    Reporter gene fusion type not specified.	""	""	ASHR	lineage name: ABprpaappaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003889	sra-6	WBGene00005032	elegans
Marker for ASI neurons.	Marker102	""	""	""	ASIL	lineage name: ABplaapapppa	one member of amphid neurons, single ciliated ending, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003888	daf-7	WBGene00000903	elegans
Marker for ASI neurons.	Marker102	""	""	""	ASIR	lineage name: ABpraapapppa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003887	daf-7	WBGene00000903	elegans
Marker for ASI neurons.	Marker111	""	""	""	ASIL	lineage name: ABplaapapppa	one member of amphid neurons, single ciliated ending, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003888	zig-2	WBGene00006979	elegans
Marker for ASI neurons.	Marker111	""	""	""	ASIR	lineage name: ABpraapapppa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003887	zig-2	WBGene00006979	elegans
Marker for AVB neurons.	Marker92	Picture: N.A.	""	""	AVBL	lineage name: ABplpaapaap	Ventral cord interneuron, synapses onto VB and DB motor neurons; formerly called beta.	WBbt:0003868	sra-11	WBGene00005037	elegans
Marker for AVB neurons.	Marker92	Picture: N.A.	""	""	AVBR	lineage name: ABprpaapaap	Ventral cord interneuron, synapses onto VB and DB motor neurons; formerly called beta.	WBbt:0003867	sra-11	WBGene00005037	elegans
Marker for AWA cilia.	Marker84	Picture: Figure 1I and 1M.	""	""	AWAL	lineage name: ABplaapapaa	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003831	odr-10	WBGene00003856	elegans
Marker for AWA cilia.	Marker84	Picture: Figure 1I and 1M.	""	""	AWAR	lineage name: ABpraapapaa	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003830	odr-10	WBGene00003856	elegans
Marker for AWA neurons.	Marker104	""	""	""	AWAL	lineage name: ABplaapapaa	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003831	odr-10	WBGene00003856	elegans
Marker for AWA neurons.	Marker104	""	""	""	AWAR	lineage name: ABpraapapaa	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003830	odr-10	WBGene00003856	elegans
Marker for AWB cilia.	Marker85	Picture: Figure 1J and 1N.    Reporter gene fusion type not specified.	""	""	AWBL	lineage name: ABalpppppap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003829	str-1	WBGene00006069	elegans
Marker for AWB cilia.	Marker85	Picture: Figure 1J and 1N.    Reporter gene fusion type not specified.	""	""	AWBR	lineage name: ABpraaappap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003828	str-1	WBGene00006069	elegans
Marker for AWC neurons.	Marker108	""	""	""	AWCL	lineage name: ABplpaaaaap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003827	str-2	WBGene00006070	elegans
Marker for AWC neurons.	Marker108	""	""	""	AWCR	lineage name: ABprpaaaaap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003826	str-2	WBGene00006070	elegans
Marker for HSN neurons.	Marker88	Picture: N.A.	""	""	HSNL	lineage name: ABplapppappa	Herm. specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic	WBbt:0004758	nlp-1	WBGene00003739	elegans
Marker for HSN neurons.	Marker88	Picture: N.A.	""	""	HSNR	lineage name: ABprapppappa	Herm. specific motor neurons (die in male embryo), innervate vulval muscles, serotonergic	WBbt:0004757	nlp-1	WBGene00003739	elegans
Marker for M cell.	Marker68	Picture: Figure 2C.    Reporter gene fusion type not specified.	""	""	M cell	lineage name: MSapaapp	Postembryonic mesoblast of pedigree MSapaapp.	WBbt:0004489	hlh-8	WBGene00001953	elegans
Marker for NSM neurons.	Marker120	""	""	""	NSML	lineage name: ABaraapapaav	Pharyngeal neurosecretory motorneuron, contain serotonin	WBbt:0004457	tph-1	WBGene00006600	elegans
Marker for NSM neurons.	Marker120	""	""	""	NSMR	lineage name: ABaraapppaav	Pharyngeal neurosecretory motorneuron, contain serotonin	WBbt:0004446	tph-1	WBGene00006600	elegans
Marker for OLQ cilia.	Marker83	Picture: Figure 1D and 1H.    Reporter gene fusion type not specified.	""	""	OLQDL	lineage name: ABalapapapaa	Quadrant outer labial neuron	WBbt:0004439	osm-9	WBGene00003889	elegans
Marker for OLQ cilia.	Marker83	Picture: Figure 1D and 1H.    Reporter gene fusion type not specified.	""	""	OLQDR	lineage name: ABalapppapaa	Quadrant outer labial neuron	WBbt:0004438	osm-9	WBGene00003889	elegans
Marker for OLQ cilia.	Marker83	Picture: Figure 1D and 1H.    Reporter gene fusion type not specified.	""	""	OLQVL	lineage name: ABplpaaappaa	Quadrant outer labial neuron	WBbt:0004437	osm-9	WBGene00003889	elegans
Marker for OLQ cilia.	Marker83	Picture: Figure 1D and 1H.    Reporter gene fusion type not specified.	""	""	OLQVR	lineage name: ABprpaaappaa	Quadrant outer labial neuron	WBbt:0004431	osm-9	WBGene00003889	elegans
Marker for PDA cell.	Marker114	""	""	""	PDA	""	Neuron class of one motor neuron, process in dorsal cord, same as Y cell in hermaphrodite, Y.a in male.      	WBbt:0004386	cog-1	WBGene00000584	elegans
Marker for RMD, SMDD, SMDV neurons.	Marker94	Picture: N.A.	""	""	RMDL	lineage name: ABalpppapad	Ring motor neuron/interneuron, many synapses	WBbt:0005037	glr-1	WBGene00001612	elegans
Marker for RMD, SMDD, SMDV neurons.	Marker94	Picture: N.A.	""	""	RMDR	lineage name: ABpraaaapad	Ring motor neuron/interneuron, many synapses	WBbt:0005033	glr-1	WBGene00001612	elegans
Marker for RMD, SMDD, SMDV neurons.	Marker94	Picture: N.A.	""	""	SMDDL	lineage name: ABplpapaaaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally	WBbt:0004972	glr-1	WBGene00001612	elegans
Marker for RMD, SMDD, SMDV neurons.	Marker94	Picture: N.A.	""	""	SMDDR	lineage name: ABprpapaaaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally	WBbt:0004971	glr-1	WBGene00001612	elegans
Marker for RMD, SMDD, SMDV neurons.	Marker94	Picture: N.A.	""	""	SMDVL	lineage name: ABalppappaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally	WBbt:0004970	glr-1	WBGene00001612	elegans
Marker for RMD, SMDD, SMDV neurons.	Marker94	Picture: N.A.	""	""	SMDVR	lineage name: ABarappppaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally	WBbt:0004969	glr-1	WBGene00001612	elegans
Marker for RMD, SMDD, SMDV neurons.	Marker95	Picture: N.A.	""	""	RMDL	lineage name: ABalpppapad	Ring motor neuron/interneuron, many synapses	WBbt:0005037	glr-1	WBGene00001612	elegans
Marker for RMD, SMDD, SMDV neurons.	Marker95	Picture: N.A.	""	""	RMDR	lineage name: ABpraaaapad	Ring motor neuron/interneuron, many synapses	WBbt:0005033	glr-1	WBGene00001612	elegans
Marker for RMD, SMDD, SMDV neurons.	Marker95	Picture: N.A.	""	""	SMDDL	lineage name: ABplpapaaaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally	WBbt:0004972	glr-1	WBGene00001612	elegans
Marker for RMD, SMDD, SMDV neurons.	Marker95	Picture: N.A.	""	""	SMDDR	lineage name: ABprpapaaaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally	WBbt:0004971	glr-1	WBGene00001612	elegans
Marker for RMD, SMDD, SMDV neurons.	Marker95	Picture: N.A.	""	""	SMDVL	lineage name: ABalppappaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally	WBbt:0004970	glr-1	WBGene00001612	elegans
Marker for RMD, SMDD, SMDV neurons.	Marker95	Picture: N.A.	""	""	SMDVR	lineage name: ABarappppaa	Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally	WBbt:0004969	glr-1	WBGene00001612	elegans
Marker for VA motorneuron.	Marker90	Picture: Figure 5.    Reporter gene fusion type not specified.	""	""	VA neuron	""	Neuron class of twelve motoneurons, distributed along the ventral cord, which innervate ventral body muscles.      	WBbt:0005339	unc-4	WBGene00006744	elegans
Marker for all neurons.	Marker118	""	""	""	neuron	neurone	Major cell type of nervous tissue, specialized for transmission of information in the form of patterns of impulses.	WBbt:0003679	rgef-1	WBGene00009100	elegans
Marker for all neurons.	Marker119	""	""	""	neuron	neurone	Major cell type of nervous tissue, specialized for transmission of information in the form of patterns of impulses.	WBbt:0003679	unc-33	WBGene00006769	elegans
Marker for anchor cell.	Marker78	Picture: N.A.	""	""	anchor cell	AC	anchor cell, induces vulva, part of hermaphrodite gonad.	WBbt:0004522	lin-3	WBGene00002992	elegans
Marker for primary fate VPC.	Marker105	""	""	""	P6.p hermaphrodite	""	""	WBbt:0008125	egl-17	WBGene00001185	elegans
Marker for rectal cells.	Marker107	""	""	""	rectum	""	The passageway in the hindgut between the posterior intestine, the rectal valve and the opening to the exterior.      	WBbt:0005773	sem-4	WBGene00004773	elegans
Marker for rectal cells.	Marker113	""	""	""	rectum	""	The passageway in the hindgut between the posterior intestine, the rectal valve and the opening to the exterior.      	WBbt:0005773	egl-26	WBGene00001193	elegans
Marker for secondary fate VPC.	Marker106	""	""	""	P5.p hermaphrodite	""	descendent cell of post-embryonic blast cell P5, posterior, in hermaphrodite.	WBbt:0008121	lip-1	WBGene00003043	elegans
Marker for secondary fate VPC.	Marker106	""	""	""	P7.p hermaphrodite	""	""	WBbt:0008129	lip-1	WBGene00003043	elegans
Marker for secondary fate VPC.	Marker77	Picture: N.A.	""	""	P5.p hermaphrodite	""	descendent cell of post-embryonic blast cell P5, posterior, in hermaphrodite.	WBbt:0008121	lin-11	WBGene00003000	elegans
Marker for secondary fate VPC.	Marker77	Picture: N.A.	""	""	P7.p hermaphrodite	""	""	WBbt:0008129	lin-11	WBGene00003000	elegans
Marker for the AIY interneurons.	Marker66	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIYL	lineage name: ABplpapaaap	Amphid interneuron	WBbt:0003963	ttx-3	WBGene00006654	elegans
Marker for the AIY interneurons.	Marker66	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AIYR	lineage name: ABprpapaaap	Amphid interneuron	WBbt:0003961	ttx-3	WBGene00006654	elegans
Marker for touch receptor neurons.	Marker72	Picture: .    Reporter gene fusion type not specified.	""	""	touch receptor neuron	microtubule cell	neurons that sense body touch, have specialized microtubules in processes.	WBbt:0005237	mec-4	WBGene00003168	elegans
Marker for vas deferens.	Marker121	""	""	""	vas deferens	gon_male_vdef	That portion of the male reproductive tract, through which sperm are delivered to the proctodeum and then the cloaca in the tail.  Thus that portion which is distal to the testis, made of a total of 30 cells.	WBbt:0005337	plg-1	WBGene00004041	elegans
PVQ neuron marker.	Marker47	Picture: N.A.    Reporter gene fusion type not specified.	""	""	PVQL	lineage name: ABplapppaaa	Interneuron, projects along ventral cord to ring	WBbt:0004076	sra-6	WBGene00005032	elegans
PVQ neuron marker.	Marker47	Picture: N.A.    Reporter gene fusion type not specified.	""	""	PVQR	lineage name: ABprapppaaa	Interneuron, projects along ventral cord to ring	WBbt:0004074	sra-6	WBGene00005032	elegans
PVT cell fate marker.	Marker43	Picture: N.A.    Reporter gene fusion type not specified.	""	""	PVT	lineage name: ABplpappppa	Neuron class of one interneuron, projects along ventral cord to ring.      	WBbt:0004070	gpa-2	WBGene00001664	elegans
PVT cell fate marker.	Marker44	Picture: N.A.    Reporter gene fusion type not specified.	""	""	PVT	lineage name: ABplpappppa	Neuron class of one interneuron, projects along ventral cord to ring.      	WBbt:0004070	pin-2	WBGene00004030	elegans
PVT cell fate marker.	Marker45	Picture: N.A.	""	""	PVT	lineage name: ABplpappppa	Neuron class of one interneuron, projects along ventral cord to ring.      	WBbt:0004070	F59B2.13	WBGene00010315	elegans
PVT cell fate marker.	Marker46	Picture: N.A.	""	""	PVT	lineage name: ABplpappppa	Neuron class of one interneuron, projects along ventral cord to ring.      	WBbt:0004070	unc-47	WBGene00006783	elegans
Phasmid channel cilia marker.	Marker82	Picture: Figure 1F.	""	""	phasmid neuron	""	neuron of phasmid sensillum	WBbt:0006753	osm-1	WBGene00003883	elegans
RID cell fate marker	Marker63	Picture: N.A.    Reporter gene fusion type not specified.	""	""	RID	lineage name: ABalappaapa	Neuron class of one ring motoneuron, projects along dorsal cord, innervates dorsal body muscle.      	WBbt:0003938	ceh-10	WBGene00000435	elegans
RID cell fate marker	Marker64	Picture: N.A.    Reporter gene fusion type not specified.	""	""	RID	lineage name: ABalappaapa	Neuron class of one ring motoneuron, projects along dorsal cord, innervates dorsal body muscle.      	WBbt:0003938	kal-1	WBGene00002181	elegans
RID cell fate marker	Marker65	Picture: N.A.	""	""	RID	lineage name: ABalappaapa	Neuron class of one ring motoneuron, projects along dorsal cord, innervates dorsal body muscle.      	WBbt:0003938	zig-5	WBGene00006982	elegans
RIS cell fate marker.	Marker60	Picture: N.A.    Reporter gene fusion type not specified.	""	""	RIS	lineage name: ABprpappapa	Neuron class of one ring interneuron.      	WBbt:0005045	glr-1	WBGene00001612	elegans
RIS cell fate marker.	Marker61	Picture: N.A.	""	""	RIS	lineage name: ABprpappapa	Neuron class of one ring interneuron.      	WBbt:0005045	zig-5	WBGene00006982	elegans
RIS cell fate marker.	Marker62	Picture: N.A.	""	""	RIS	lineage name: ABprpappapa	Neuron class of one ring interneuron.      	WBbt:0005045	unc-47	WBGene00006783	elegans
The lin-11::GFP is expressed in the AIZ interneurons as well as several other head neurons.	Marker3	Picture: Figure 2b.    Reporter gene fusion type not specified.	""	""	AIYL	lineage name: ABplpapaaap	Amphid interneuron	WBbt:0003963	lin-11	WBGene00003000	elegans
The lin-11::GFP is expressed in the AIZ interneurons as well as several other head neurons.	Marker3	Picture: Figure 2b.    Reporter gene fusion type not specified.	""	""	AIYR	lineage name: ABprpapaaap	Amphid interneuron	WBbt:0003961	lin-11	WBGene00003000	elegans
YFP fluorescence was detected in the nerve ring and along the ventral and dorsal cords with a punctate pattern.	Marker2	Picture: Fig. 1D.	Presynaptic terminals were visualized using unc-47::SNB-CFP. Postsynaptic GABA receptor fields were visualized by unc-49::UNC-49B::YFP.	Presynaptic terminals were visualized using unc-47::SNB-CFP. Postsynaptic GABA receptor fields were visualized by UNC-49B::YFP.	dorsal nerve cord	dorsal cord	a bundle of nerve processes that runs along the dorsal mid-line of the animal.	WBbt:0006750	unc-49	WBGene00006784	elegans
YFP fluorescence was detected in the nerve ring and along the ventral and dorsal cords with a punctate pattern.	Marker2	Picture: Fig. 1D.	Presynaptic terminals were visualized using unc-47::SNB-CFP. Postsynaptic GABA receptor fields were visualized by unc-49::UNC-49B::YFP.	Presynaptic terminals were visualized using unc-47::SNB-CFP. Postsynaptic GABA receptor fields were visualized by UNC-49B::YFP.	nerve ring	circumpharyngeal nerve ring	the most extensive region of neuropil in the animal, consists of a large toroidal bundle of processes.	WBbt:0006749	unc-49	WBGene00006784	elegans
YFP fluorescence was detected in the nerve ring and along the ventral and dorsal cords with a punctate pattern.	Marker2	Picture: Fig. 1D.	Presynaptic terminals were visualized using unc-47::SNB-CFP. Postsynaptic GABA receptor fields were visualized by unc-49::UNC-49B::YFP.	Presynaptic terminals were visualized using unc-47::SNB-CFP. Postsynaptic GABA receptor fields were visualized by UNC-49B::YFP.	ventral nerve cord	ventral cord	a large process bundle that runs along the vental mid-line extending from the ventral region of the nerve ring.	WBbt:0005829	unc-49	WBGene00006784	elegans
gfp is expressed in all rectal cells in transgenic L1 larvae, including Y, and then in all rectal cells except for P12.pa in transgenic L4 and older animals.	Marker35	Picture: N.A.	""	""	rectal epithelium	""	epithelium connecting intestine and anus.      	WBbt:0005800	egl-5	WBGene00001174	elegans
marker for ASER neuron.	Marker67	Picture: N.A.    Reporter gene fusion type not specified.	""	""	ASER	lineage name: ABpraaapppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003903	gcy-5	WBGene00001532	elegans
str-2::dsRed2 was used as marker for AWCON and srsx-3::GFP was used as marker for AWCOFF.	Marker91	Picture: Figure 3D.	""	""	AWCL	lineage name: ABplpaaaaap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003827	elt-2	WBGene00001250	elegans
str-2::dsRed2 was used as marker for AWCON and srsx-3::GFP was used as marker for AWCOFF.	Marker91	Picture: Figure 3D.	""	""	AWCL	lineage name: ABplpaaaaap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003827	srsx-3	WBGene00022408	elegans
str-2::dsRed2 was used as marker for AWCON and srsx-3::GFP was used as marker for AWCOFF.	Marker91	Picture: Figure 3D.	""	""	AWCL	lineage name: ABplpaaaaap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003827	str-2	WBGene00006070	elegans
str-2::dsRed2 was used as marker for AWCON and srsx-3::GFP was used as marker for AWCOFF.	Marker91	Picture: Figure 3D.	""	""	AWCR	lineage name: ABprpaaaaap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003826	elt-2	WBGene00001250	elegans
str-2::dsRed2 was used as marker for AWCON and srsx-3::GFP was used as marker for AWCOFF.	Marker91	Picture: Figure 3D.	""	""	AWCR	lineage name: ABprpaaaaap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003826	srsx-3	WBGene00022408	elegans
str-2::dsRed2 was used as marker for AWCON and srsx-3::GFP was used as marker for AWCOFF.	Marker91	Picture: Figure 3D.	""	""	AWCR	lineage name: ABprpaaaaap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003826	str-2	WBGene00006070	elegans
""	Marker32	Picture: N.A.	""	adherens junction marker in epithelial cells	epithelial cell	epithelium	cell of epithelium, the layer of cells that cover the external surface of an organism as well as forming an inner lining between the tissues and organs of that organism and the external environment. In C. elegans epithelial cells include epithelium of the alimentary tract, intestinal cells, hypodermis, interfacial cells and somatic gonad cells.	WBbt:0003672	dlg-1	WBGene00001006	elegans
""	Marker33	Picture: N.A.	""	Expressed in apical membrane in epithelial cells.	epithelial cell	epithelium	cell of epithelium, the layer of cells that cover the external surface of an organism as well as forming an inner lining between the tissues and organs of that organism and the external environment. In C. elegans epithelial cells include epithelium of the alimentary tract, intestinal cells, hypodermis, interfacial cells and somatic gonad cells.	WBbt:0003672	che-14	WBGene00000493	elegans
""	Marker71	Picture: Fig 2C.    Reporter gene fusion type not specified.	""	Marker for AVM axon.	AVM	lineage name: QR.paa	Neuron class of one sensory neuron, anterior ventral microtubule cell, touch receptor.      	WBbt:0003832	mec-4	WBGene00003168	elegans
""	Marker73	Picture: Figure 4A, 4B.    Reporter gene fusion type not specified.	""	Marker for the amphid and phasmid cilia.	amphid neuron	amphid sensory neuron	neuron of the amphid sensillum	WBbt:0005394	osm-6	WBGene00003886	elegans
""	Marker73	Picture: Figure 4A, 4B.    Reporter gene fusion type not specified.	""	Marker for the amphid and phasmid cilia.	phasmid neuron	""	neuron of phasmid sensillum	WBbt:0006753	osm-6	WBGene00003886	elegans
""	Marker89	Picture: Figure 1A.	""	Marker for DA and DB motor axons.	DA neuron	""	Neuron class of nine ventral cord motor neuron, innervates dorsal muscle.      	WBbt:0005278	unc-129	WBGene00006852	elegans
""	Marker89	Picture: Figure 1A.	""	Marker for DA and DB motor axons.	DB neuron	""	Neuron class of seven motoneurons that innervate dorsal muscles and have cell bodies in the ventral cord.      	WBbt:0005274	unc-129	WBGene00006852	elegans
